Year     Jan      Feb      Mar      Apr      May      Jun     Jul      Aug      Sep       Oct      Nov      Dec
1948    3.550    3.399    3.532    4.012    6.139    9.010   11.180   12.029   11.574    8.006    5.370    3.971
1949    3.303    2.459    3.233    4.179    6.029    8.215   10.762   12.214   11.400    8.653    6.787    4.725
1950    3.550    3.039    3.608    4.052    5.345    7.815   10.208   11.949   10.853    7.989    5.346    4.456
1951    3.186    3.012    2.652    3.961    6.151    8.576   11.752   12.918   12.011    9.203    6.946    4.808
1952    3.275    3.518    3.380    3.921    5.718    8.158   10.723   12.421   11.613    9.529    7.070    4.901
1953    3.502    3.695    3.312    4.397    6.278    8.903   11.651   12.720   11.633    8.722    6.575    5.029
1954    3.712    3.064    3.342    4.028    6.150    8.471   10.726   12.457   11.652    9.164    7.063    4.776
1955    4.355    3.651    3.608    3.913    5.461    7.521   10.332   11.771   10.693    7.750    5.498    4.107
1956    3.263    2.666    2.802    3.858    5.846    8.122   10.893   12.299   11.252    8.336    6.162    4.536
1957    4.031    3.562    4.025    4.771    7.051   10.028   12.381   13.692   12.541   10.281    8.145    5.546
1958    4.997    4.472    4.357    5.428    7.103    9.850   11.830   12.666   11.737    9.084    6.715    5.635
1959    4.435    4.313    3.721    4.720    6.652    9.392   11.372   12.424   11.478    9.433    7.472    5.306
1960    4.118    3.963    3.714    4.489    6.389    8.642   11.174   12.133   11.125    8.687    6.130    4.946
1961    4.330    3.801    3.710    4.607    6.543    8.768   11.116   12.372   11.278    8.449    5.967    4.237
1962    3.930    3.772    3.690    4.728    6.243    8.615   11.407   12.726   11.437    8.601    6.442    4.938
1963    4.672    4.447    4.272    4.906    6.867    8.860   11.601   13.087   12.214    9.107    5.906    5.467
1964    4.282    3.911    3.339    4.088    5.676    8.525   10.510   11.419   10.721    8.234    5.684    3.800
1965    3.415    3.097    3.880    4.298    5.637    7.801   10.526   11.996   11.524    8.460    6.268    4.498
1966    3.595    3.417    3.160    4.201    5.728    8.398   10.972   11.790   10.792    8.229    5.966    4.597
1967    3.493    3.292    3.182    4.205    6.215    8.667   11.151   12.777   11.506    8.803    6.643    4.524
1968    3.528    3.416    3.657    4.246    6.274    8.857   11.278   12.438   11.200    8.336    6.208    4.165
1969    2.982    3.070    3.251    4.004    5.634    8.228   10.909   12.190   11.287    9.055    6.582    5.523
1970    3.946    4.327    4.339    4.615    5.910    8.133   10.121   11.228   10.677    8.596    6.636    4.496
1971    3.099    3.149    2.731    3.593    4.767    7.014    9.718   11.261    9.889    7.650    5.425    3.865
